timestamp,city,temperature,description
2025-12-13T03:16:36.229Z,Wisbech,3.57,scattered clouds
2025-12-13T04:26:39.354Z,Wisbech,3.21,scattered clouds
2025-12-13T04:26:39.355Z,Wisbech,3.21,scattered clouds
2025-12-13T06:31:26.580Z,Wisbech,3.29,clear sky
2025-12-13T06:31:26.584Z,Wisbech,3.29,clear sky
2025-12-13T08:26:34.756Z,Wisbech,1.86,clear sky
2025-12-13T08:26:34.758Z,Wisbech,1.86,clear sky
2025-12-13T10:20:48.875Z,Wisbech,4.94,clear sky
2025-12-13T10:20:48.878Z,Wisbech,4.94,clear sky
2025-12-13T12:39:44.955Z,Wisbech,8.03,scattered clouds
2025-12-13T12:39:44.957Z,Wisbech,8.03,scattered clouds
2025-12-13T14:18:31.427Z,Wisbech,8.32,broken clouds
2025-12-13T14:18:31.429Z,Wisbech,8.32,broken clouds
2025-12-13T16:25:06.011Z,Wisbech,6.88,broken clouds
2025-12-13T16:25:06.013Z,Wisbech,6.88,broken clouds
2025-12-13T18:27:56.910Z,Wisbech,6.62,overcast clouds
2025-12-13T18:27:56.912Z,Wisbech,6.62,overcast clouds
2025-12-13T20:22:09.730Z,Wisbech,5.91,overcast clouds
2025-12-13T20:22:09.733Z,Wisbech,5.91,overcast clouds
2025-12-13T22:19:15.233Z,Wisbech,6.02,overcast clouds
2025-12-13T22:19:15.235Z,Wisbech,6.02,overcast clouds
2025-12-14T01:51:12.069Z,Wisbech,7.29,few clouds
2025-12-14T01:51:12.071Z,Wisbech,7.29,few clouds
2025-12-14T03:39:03.020Z,Wisbech,7.16,broken clouds
2025-12-14T03:39:03.022Z,Wisbech,7.16,broken clouds
2025-12-14T04:36:52.872Z,Wisbech,7.54,broken clouds
2025-12-14T04:36:52.874Z,Wisbech,7.54,broken clouds
2025-12-14T06:31:22.231Z,Wisbech,7.45,broken clouds
2025-12-14T06:31:22.233Z,Wisbech,7.45,broken clouds
2025-12-14T08:27:04.470Z,Wisbech,7.26,overcast clouds
2025-12-14T08:27:04.472Z,Wisbech,7.26,overcast clouds
2025-12-14T10:20:57.151Z,Wisbech,8.2,overcast clouds
2025-12-14T10:20:57.152Z,Wisbech,8.2,overcast clouds
2025-12-14T12:40:08.040Z,Wisbech,9.5,overcast clouds
2025-12-14T12:40:08.042Z,Wisbech,9.5,overcast clouds
2025-12-14T14:19:02.392Z,Wisbech,9.96,overcast clouds
2025-12-14T14:19:02.394Z,Wisbech,9.96,overcast clouds
2025-12-14T16:24:47.617Z,Wisbech,8.85,overcast clouds
2025-12-14T16:24:47.619Z,Wisbech,8.85,overcast clouds
2025-12-14T18:29:24.303Z,Wisbech,8.7,overcast clouds
2025-12-14T18:29:24.304Z,Wisbech,8.7,overcast clouds
2025-12-14T20:22:46.009Z,Wisbech,9.03,overcast clouds
2025-12-14T20:22:46.015Z,Wisbech,9.03,overcast clouds
2025-12-14T22:19:07.614Z,Wisbech,9.48,overcast clouds
2025-12-14T22:19:07.616Z,Wisbech,9.48,overcast clouds
2025-12-15T01:49:16.463Z,Wisbech,10.2,overcast clouds
2025-12-15T01:49:16.465Z,Wisbech,10.2,overcast clouds
2025-12-15T03:42:29.237Z,Wisbech,10.02,broken clouds
2025-12-15T03:42:29.239Z,Wisbech,10.02,broken clouds
2025-12-15T04:41:03.875Z,Wisbech,9.96,overcast clouds
2025-12-15T04:41:03.877Z,Wisbech,9.96,overcast clouds
2025-12-15T06:36:56.346Z,Wisbech,9.84,overcast clouds
2025-12-15T06:36:56.348Z,Wisbech,9.84,overcast clouds
2025-12-15T08:33:42.459Z,Wisbech,9.54,overcast clouds
2025-12-15T08:33:42.463Z,Wisbech,9.54,overcast clouds
2025-12-15T10:27:33.898Z,Wisbech,10.02,overcast clouds
2025-12-15T10:27:33.900Z,Wisbech,10.02,overcast clouds
2025-12-15T12:49:36.970Z,Wisbech,11.22,clear sky
2025-12-15T12:49:36.972Z,Wisbech,11.22,clear sky
2025-12-15T14:26:41.165Z,Wisbech,11.12,clear sky
2025-12-15T14:26:41.169Z,Wisbech,11.12,clear sky
2025-12-15T16:32:38.091Z,Wisbech,9.75,scattered clouds
2025-12-15T16:32:38.093Z,Wisbech,9.75,scattered clouds
2025-12-15T18:33:51.900Z,Wisbech,9.37,overcast clouds
2025-12-15T18:33:51.902Z,Wisbech,9.37,overcast clouds
2025-12-15T20:25:28.064Z,Wisbech,9.93,light rain
2025-12-15T20:25:28.065Z,Wisbech,9.93,light rain
2025-12-15T22:21:23.927Z,Wisbech,10.09,overcast clouds
2025-12-15T22:21:23.929Z,Wisbech,10.09,overcast clouds
2025-12-16T01:46:07.533Z,Wisbech,9.65,light rain
2025-12-16T01:46:07.535Z,Wisbech,9.65,light rain
2025-12-16T03:25:15.954Z,Wisbech,9.22,overcast clouds
2025-12-16T03:25:15.956Z,Wisbech,9.22,overcast clouds
2025-12-16T04:36:05.594Z,Wisbech,9.22,overcast clouds
2025-12-16T04:36:05.596Z,Wisbech,9.22,overcast clouds
2025-12-16T06:35:03.012Z,Wisbech,9.35,light rain
2025-12-16T06:35:03.015Z,Wisbech,9.35,light rain
2025-12-16T08:31:34.627Z,Wisbech,9.96,light rain
2025-12-16T08:31:34.629Z,Wisbech,9.96,light rain
2025-12-16T10:26:51.676Z,Wisbech,9.17,overcast clouds
2025-12-16T10:26:51.678Z,Wisbech,9.17,overcast clouds
